SECCION,ANIO,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_MC,VOTOS_NULOS,VOTOS_TOTALES,LISTA_NOMINAL_HIST,PARTICIPACION_PCT
5212,2021,827.0,92.0,4.0,3.0,215.0,307.0,70.03
5212,2024,765.0,78.0,16.0,3.0,221.0,273.0,80.95
5213,2012,678.0,339.0,7.0,19.0,672.0,0.0,0.0
5213,2015,419.0,77.0,16.0,26.0,523.0,0.0,0.0
5213,2018,2475.0,260.0,13.0,13.0,734.0,908.0,80.84
5213,2021,2414.0,209.0,11.0,12.0,612.0,919.0,66.59
5213,2024,2473.0,165.0,32.0,14.0,672.0,917.0,73.28
5214,2012,969.0,464.0,10.0,25.0,965.0,0.0,0.0
5214,2015,602.0,87.0,19.0,22.0,758.0,0.0,0.0
5214,2018,3391.0,308.0,20.0,29.0,975.0,1271.0,76.71
5214,2021,3405.0,310.0,12.0,11.0,879.0,1294.0,67.93
5214,2024,3358.0,270.0,54.0,17.0,970.0,1229.0,78.93
5215,2012,598.0,279.0,6.0,22.0,588.0,0.0,0.0
5215,2015,397.0,29.0,16.0,9.0,458.0,0.0,0.0
5215,2018,2047.0,212.0,9.0,10.0,587.0,765.0,76.73
5215,2021,2107.0,177.0,10.0,8.0,551.0,789.0,69.84
5215,2024,2152.0,153.0,35.0,15.0,596.0,797.0,74.78
5216,2012,668.0,308.0,4.0,21.0,666.0,0.0,0.0
5216,2015,398.0,87.0,7.0,18.0,500.0,0.0,0.0
5216,2018,2123.0,247.0,17.0,8.0,659.0,778.0,84.7
5216,2021,2082.0,194.0,11.0,8.0,591.0,760.0,77.76
5216,2024,2106.0,145.0,29.0,11.0,621.0,756.0,82.14
5217,2012,762.0,364.0,13.0,28.0,782.0,0.0,0.0
5217,2015,521.0,81.0,12.0,29.0,632.0,0.0,0.0
5217,2018,2895.0,344.0,20.0,24.0,858.0,1088.0,78.86
5217,2021,2790.0,311.0,23.0,11.0,724.0,1073.0,67.47
5217,2024,2894.0,297.0,63.0,14.0,848.0,1064.0,79.7
5218,2012,958.0,433.0,19.0,30.0,977.0,0.0,0.0
5218,2015,697.0,73.0,15.0,29.0,822.0,0.0,0.0
5218,2018,3410.0,420.0,23.0,11.0,1018.0,1267.0,80.35
5218,2021,3334.0,371.0,23.0,7.0,923.0,1232.0,74.92
5218,2024,3458.0,269.0,53.0,12.0,1032.0,1238.0,83.36
5219,2012,1168.0,629.0,18.0,41.0,1199.0,0.0,0.0
5219,2015,795.0,112.0,19.0,37.0,973.0,0.0,0.0
5219,2018,3972.0,516.0,26.0,18.0,1219.0,1472.0,82.81
5219,2021,3873.0,409.0,14.0,15.0,1051.0,1450.0,72.48
5219,2024,3862.0,303.0,77.0,23.0,1156.0,1399.0,82.63
5220,2012,877.0,450.0,9.0,33.0,882.0,0.0,0.0
5220,2015,544.0,70.0,25.0,34.0,700.0,0.0,0.0
5220,2018,2885.0,284.0,32.0,21.0,871.0,1069.0,81.48
5220,2021,2785.0,260.0,16.0,12.0,723.0,1058.0,68.34
5220,2024,2908.0,229.0,49.0,13.0,829.0,1066.0,77.77
5221,2012,714.0,365.0,8.0,12.0,690.0,0.0,0.0
5221,2015,440.0,78.0,9.0,16.0,555.0,0.0,0.0
5221,2018,2256.0,240.0,14.0,9.0,679.0,828.0,82.0
5221,2021,2121.0,164.0,9.0,5.0,552.0,791.0,69.79
5221,2024,2154.0,152.0,33.0,10.0,615.0,780.0,78.85
5222,2012,762.0,417.0,6.0,25.0,747.0,0.0,0.0
5222,2015,470.0,88.0,17.0,32.0,609.0,0.0,0.0
5222,2018,2532.0,272.0,13.0,22.0,726.0,943.0,76.99
5222,2021,2133.0,108.0,5.0,8.0,324.0,899.0,36.04
5222,2024,2412.0,219.0,51.0,12.0,719.0,869.0,82.74
5223,2012,787.0,401.0,9.0,29.0,792.0,0.0,0.0
5223,2015,486.0,94.0,10.0,19.0,615.0,0.0,0.0
5223,2018,2903.0,332.0,16.0,18.0,828.0,1095.0,75.62
5223,2021,2771.0,271.0,14.0,17.0,671.0,1077.0,62.3
5223,2024,2849.0,294.0,65.0,27.0,809.0,1063.0,76.11
5224,2012,772.0,364.0,14.0,17.0,774.0,0.0,0.0
5224,2015,419.0,88.0,84.0,23.0,636.0,0.0,0.0
5224,2018,2605.0,302.0,17.0,12.0,754.0,973.0,77.49
5224,2021,2417.0,214.0,15.0,8.0,620.0,923.0,67.17
5224,2024,2438.0,203.0,49.0,8.0,693.0,900.0,77.0
5225,2012,707.0,346.0,16.0,19.0,707.0,0.0,0.0
5225,2015,450.0,85.0,11.0,21.0,583.0,0.0,0.0
5225,2018,2386.0,233.0,19.0,14.0,687.0,886.0,77.54
5225,2021,2352.0,223.0,13.0,10.0,640.0,874.0,73.23
5225,2024,2169.0,173.0,39.0,14.0,629.0,791.0,79.52
5226,2012,922.0,470.0,20.0,33.0,937.0,0.0,0.0
5226,2015,533.0,89.0,23.0,27.0,689.0,0.0,0.0
5226,2018,2910.0,302.0,19.0,20.0,855.0,1090.0,78.44
5226,2021,2682.0,258.0,11.0,10.0,675.0,1029.0,65.6
5226,2024,2771.0,231.0,39.0,13.0,815.0,1006.0,81.01
5227,2012,995.0,492.0,29.0,46.0,1047.0,0.0,0.0
5227,2015,557.0,104.0,38.0,41.0,781.0,0.0,0.0
