SECCION,ANIO,TIPO_ELECCION,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_TOTALES,LISTA_NOMINAL_HIST
5372,2017,GUBERNATURA,8904.0,610.0,2056.0,3515.0
5372,2023,GUBERNATURA,12222.0,1488.0,2692.0,4798.0
5373,2017,GUBERNATURA,6896.0,423.0,1749.0,2644.0
5373,2023,GUBERNATURA,8921.0,1162.0,2062.0,3451.0
5374,2017,GUBERNATURA,6011.0,337.0,1488.0,2338.0
5374,2023,GUBERNATURA,7280.0,855.0,1506.0,2910.0
5375,2017,GUBERNATURA,5620.0,273.0,1290.0,2218.0
5375,2023,GUBERNATURA,7033.0,782.0,1461.0,2819.0
5376,2017,GUBERNATURA,9389.0,622.0,2233.0,3712.0
5376,2023,GUBERNATURA,11346.0,1385.0,2434.0,4512.0
5377,2017,GUBERNATURA,3813.0,227.0,861.0,1523.0
5377,2023,GUBERNATURA,4582.0,528.0,937.0,1834.0
5378,2017,GUBERNATURA,7498.0,431.0,1704.0,3015.0
5378,2023,GUBERNATURA,8910.0,1032.0,1827.0,3574.0
5379,2017,GUBERNATURA,6311.0,427.0,1509.0,2474.0
5379,2023,GUBERNATURA,7238.0,942.0,1637.0,2820.0
5380,2017,GUBERNATURA,4864.0,362.0,1229.0,1875.0
5380,2023,GUBERNATURA,5619.0,816.0,1321.0,2162.0
5381,2017,GUBERNATURA,8769.0,493.0,2062.0,3482.0
5381,2023,GUBERNATURA,10655.0,1198.0,2217.0,4258.0
5382,2017,GUBERNATURA,10375.0,639.0,2409.0,4126.0
5382,2023,GUBERNATURA,12959.0,1573.0,2600.0,5216.0
5383,2017,GUBERNATURA,5193.0,309.0,1236.0,2044.0
5383,2023,GUBERNATURA,6447.0,811.0,1355.0,2567.0
5384,2017,GUBERNATURA,7780.0,433.0,1779.0,3106.0
5384,2023,GUBERNATURA,9336.0,1079.0,1976.0,3710.0
5385,2017,GUBERNATURA,2994.0,176.0,708.0,1183.0
5385,2023,GUBERNATURA,3420.0,373.0,669.0,1388.0
5386,2017,GUBERNATURA,5263.0,347.0,1222.0,2068.0
5386,2023,GUBERNATURA,6058.0,706.0,1206.0,2444.0
5387,2017,GUBERNATURA,3913.0,241.0,924.0,1544.0
5387,2023,GUBERNATURA,4678.0,569.0,976.0,1865.0
5388,2017,GUBERNATURA,8465.0,423.0,1874.0,3390.0
5389,2017,GUBERNATURA,8924.0,493.0,1956.0,3586.0
5389,2023,GUBERNATURA,10333.0,1142.0,2051.0,4180.0
5390,2017,GUBERNATURA,10378.0,679.0,2456.0,4121.0
5390,2023,GUBERNATURA,13935.0,2046.0,3778.0,5129.0
5391,2017,GUBERNATURA,5960.0,437.0,1407.0,2350.0
5391,2023,GUBERNATURA,7453.0,859.0,1585.0,2958.0
5392,2017,GUBERNATURA,6414.0,391.0,1487.0,2537.0
5392,2023,GUBERNATURA,8127.0,1035.0,1775.0,3204.0
5393,2017,GUBERNATURA,6444.0,489.0,1470.0,2553.0
5393,2023,GUBERNATURA,8012.0,1090.0,1667.0,3188.0
